# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
56	<0.00083533436066253788886137865,0.049496544697087516140321384,0.092909770483574724564412861,381.09710459182832664737361,0.0008894096985293598652683178,0.027764894681873222848089711,0.030646850799977247425953664,352.24994274892378598451614>	0	<>	<0.088943014401313691408290651,0.14412309541224399556114122,0.12751196365936767751492198>	1	3.1634839999999999626822955	3.1635080000000002087290341
57	<0.00046927903302445964951739033,0.051803583582771754734164205,0.07588899880689056742788523,399.65540578456375442328863,0.0010170878491909652284463927,0.035479744712579877607971923,0.010765829598887744281143775,336.03447416612618781073252>	1.7087849190965207629711031e-05	<>	<0.03280631295833313920695673,0.071382194241432772585653765,0.031816906315209392275278333>	1	3.1485430000000000916315912	3.1485959999999999503472736
58	<0.00093896448004011272628344109,0.07829691186467974128859737,0.03931388325025974433968301,368.60004939539362567302305,0.00083752631644603160038231593,0.087672958168048861771204372,0.040601755841915387890139755,370.97828296990053331683157>	0	<>	<1.9031374874231370419863651,1.9031374874231370419863651,1.9031374874231370419863651>	1	0.017493999999999999134248085	0.017558999999999998220534536
59	<0.00066694994129564148972744153,0.072238901947736230968466487,0.034576285437017816037919005,359.87958863837627632165095,0.0008610568728233021495999111,0.098593098096825704246271016,0.07793308876707828736218886,369.0317408817502382589737>	0	<>	<1.6222135326321329706900087,1.6222135326321329706900087,1.6222135326321329706900087>	1	0.017899999999999999245048343	0.017930999999999999022781694
60	<0.00074341437213281845106105372,0.057350111264898494256581074,0.069089992208913902915767835,388.89237686008789296465693,0.0010102403095272557455308604,0.098387177702219774655389983,0.024325839455391205790046882,396.55031571004087709297892>	1.0240309527255724714178697e-05	<>	<0.3783885076636533950633634,0.63161607393742735805375332,0.67700914989208649252816485>	1	3.155823999999999962540187	3.1558939999999999770352588
61	<0.0002408017890019350354911809,0.032802406085097421395424533,0.025794173793771385527762163,375.6086692007298779572011,0.00054406826358477974447253045,0.0010929943323568433455328375,0.064165759094369487214315484,365.69067047824648852838436>	0.0089662038786412212587606518	<>	<0.19814563194745304919308637,0.41343427410522570752959837,0.33577765734520181872824196>	1	3.1434709999999999041619958	3.1434969999999999856754584
62	<0.00067086067957378028945442106,0.052941636821693574543878924,0.064845100266321148430037624,350.83869956938491441178485,0.00078438660774118591605119644,0.026735799269162023594770261,0.10829494327693012234448133,332.53412445193816893151961>	0.00829494327693011679336621	<>	<0.021764107178461777891698148,0.086247493734202151927092928,0.01520767871590422704031198>	1	3.1234060000000001267039806	3.1234700000000001907096703
63	<0.00083920120852496533827430403,0.081068377441758474044597449,-0.0062532514479259337925043383,392.92204411254357410143712,0.00081736302683938443468247836,0.027750280372682158136488084,0.060879222120102133297692149,387.53574456788396673800889>	0.016253251447925935735394631	<>	<20000000000,20000000000,nan>	1	3.0980110000000000702868874	3.0980789999999998052260253
64	<0.00071451572464523637959188385,0.051198868747427538072880537,0.047300726541923701629066557,389.1434743949880612490233,0.00073068871951228412525702893,0.015045103416799147921789626,0.082618648906992123159831465,396.84542092580602457019268>	0	<>	<0.20455043073428269551072844,0.51174355938256055331692096,0.62179561499058377815885024>	1	3.1476020000000000109707798	3.1476720000000000254658516
65	<0.00031030169991324733696699822,0.032967576704904244522253975,0.077779746133731564317059792,355.43699638239900195912924,0.00041164630172385195325257534,0.056030889181900259132795838,0.071644926619667065326169109,345.76963324426662893529283>	0	<>	<1.3081835092896731964628998,1.3081835092896731964628998,1.3081835092896731964628998>	1	0.017929999999999998022692793	0.017991999999999997578159494
66	<0.0003299032260337394031370073,0.012766275146401615328550783,0.098829225655099953162796567,395.33390925979892926989123,0.00022545415061779979426156983,0.088308203205609794861352668,0.05444345365718168683333289,361.48050728322959912475199>	7.4545849382200179457369504e-05	<>	<1.376144656604815885714288,1.376144656604815885714288,1.376144656604815885714288>	1	0.017427999999999999047872734	0.017486999999999999072519685
67	<0.00020611086550918907532581326,0.048933674459780425458621522,0.068808700546533194120080168,398.54744600995786640851293,0.00093136798030760505930081283,0.033490731326626027586357282,0.00033476280296908592082338885,363.77073155891650912963087>	0.0097591263315217249146860112	<>	<0.093181061327787917392129202,0.20455473885952102364171878,0.14508679437376981180563007>	1	3.1026859999999998329656137	3.1027580000000001270166194
68	<0.00078700404811511009712382547,0.093998558772261514571155772,0.10934713766414073943256113,344.23688837524355221830774,0.00063719233169089661231870858,0.098905588061970473034989482,0.045479914200482848829487637,384.06573720000017146958271>	0.0093471376641407338814460104	<>	<1.7467301556757124370022893,1.7467301556757124370022893,1.7467301556757124370022893>	1	0.017644999999999997492006187	0.017703999999999997516653139
69	<0.00079064933157789029239542744,0.0074191064736429147841167975,0.032420438608350435338856244,338.59804842090142074084724,0.00093904101922597795707586821,-0.0029367852015126476306061676,0.083731496401006119678633866,377.36999805195722501593991>	0.015517678727869733262823004	<>	<20000000000,20000000000,nan>	1	2.6962260000000002335696081	2.696260000000000101039177
70	<0.0010237410633003997482287639,0.052760484636649715439737918,0.080558028440251033819308191,379.00560809718706423154799,0.00066926651823765901608981332,0.030147951687755039640315147,0.066942902310724791692386759,354.97145892119567633926636>	2.3741063300399727412082207e-05	<>	<0.52335024143612995928265264,0.34296700542456859395201718,0.86737811916002094392297295>	1	3.1339730000000001197690835	3.1340059999999998474606855
71	<0.0009348138475719905068905824,0.068473599810839447243893119,0.04732819032963746924691506,389.27707837395234946598066,0.0008752064220142582919720331,0.071933504518556179441191034,0.064274277394532369767077284,391.39096792502834887272911>	0	<>	<1.7179454652494925426253758,1.7179454652494925426253758,1.7179454652494925426253758>	1	0.017811000000000000442756942	0.017843999999999998751221142
72	<0.00073780347419101911625449741,0.074911564741009656342995982,0.04908527308101079400515232,383.26986841311202169890748,0.00083153984820541937579563285,0.031405356794784483609461745,0.042336926705826505301644147,395.95663532193589162488934>	0	<>	<1.0713676433945931165681031,1.0713676433945931165681031,1.0713676433945931165681031>	1	0.017887000000000000121680443	0.017943999999999998146149593
73	<0.00038456217985812673251094784,0.055822460628497633239319953,-0.0039056951337986083039321983,328.26391135261576437187614,0.00057345590114055947517784917,0.020196342326326451044327115,0.030544313134413365873331969,367.82376033618288602156099>	1.7499943425180342071456607	<>	<20000000000,20000000000,nan>	1	3.0768089999999999051283339	3.0768719999999998293560566
74	<0.00074926296540036001897489015,0.069110235343272916064272238,0.11532582738917593334626588,371.40386327933703114467789,0.00085201381761674491351066241,0.064709242146792467220706158,0.010583196101050450568803463,367.59763247221599158365279>	0.015325827389175927795150756	<>	<0.3164182211442904124609754,0.63470699717999079503272242,0.53268565492965569418970517>	1	3.1505440000000000111413101	3.1506259999999999266151463
75	<0.00046364261455072205541511066,0.052056906238224787131230187,0.02672156776148898807421439,360.15901955317661986555322,0.00061803080170323644766672277,0.063290487059061650843005964,0.093057993754305901035195348,369.88270203577479833256803>	0	<>	<1.6880655092101448655483864,1.6880655092101448655483864,1.6880655092101448655483864>	1	0.017971000000000000862421246	0.017995999999999998109068144
76	<0.0009757130989458940271974452,0.035776317862689643867213363,0.061743260152518408823141272,407.92094061519992465036921,0.00095590070090531423577240311,0.09375658458506530568143944,0.045604394200772238598950992,370.48423145570984615915222>	7.920940615199924650369212	<>	<0.64455979180776590276025217,0.34554170271732043140389123,0.70067972237200948359969743>	1	3.1537039999999998407531621	3.1537290000000002265778676
77	<0.00032095245866614971084682106,0.075143688798483321278354197,0.051712950440921341688227386,367.01178586902642564382404,0.0010726371452550577476753313,0.00044618832433884758614794919,0.0087658880971213312682799312,382.91614864622988534392789>	0.010860560723794879939285707	<>	<0.17387782979962873586288197,0.38178986737503495252354924,0.31024233977681670015869031>	1	3.1085069999999999090789515	3.1085419999999999163264874
78	<0.00073080188894216054854707787,0.070139704379318143501187421,0.061439454698208467720021986,363.78724448093549881377839,0.00095537333599891209948151705,0.050812536687968548609894981,0.094642370052003488289926736,367.96636789942459699886967>	0	<>	<1.1980230560714335563687882,1.1980230560714335563687882,1.1980230560714335563687882>	1	0.017447000000000000702327085	0.017503999999999998726796235
79	<0.00091396195188349208578942884,0.078747764126745875556956378,0.084667977441413327932551169,340.84888125343661613442237,0.00075105352362201250986106782,0.12906108085953682529378739,0.075226321371843263285938974,328.89791687200681735703256>	1.1311442088527194904656881	<>	<1.6612026690185226485141357,1.6612026690185226485141357,1.6612026690185226485141357>	1	0.01723599999999999785038618	0.017250999999999998973931881
