# format of this file:
# evaluation_number 	[function_input_vector] 	 violation 	[properties] 	[function_output_vector] 	 evaluator_rank 	 evaluation_time 	 life_time 
80	<0.00056951796288812444723353989,0.012917951415487547578431204,0.034733341777340207001678607,353.51831417228947884723311,0.00090459696528483049884905576,0.070461387511091960744735729,0.074617909698103515592215729,391.13034380245039756118786>	0	<>	<1.9170170152756271786387288,1.9170170152756271786387288,1.9170170152756271786387288>	1	0.017488000000000000072608586	0.017535999999999999504618486
81	<0.00070340653248289908977541884,0.097804069998815690301086079,0.026729377966480966782869544,383.46493603008099171347567,0.00064649168203305081882581451,0.02417539514795662841661894,0.024325839455391205790046882,374.78981863988553868693998>	0	<>	<0.067857149174676334446587589,0.19021421102002789016438555,0.39479617734506555759566027>	1	3.1536219999999999252793259	3.1536879999999998247517397
82	<0.00031838251450955049916269335,0.046919824080271572974698557,0.051381854788112392429244579,384.37311811343448653133237,0.00074087520425248666600115399,0.033490731326626027586357282,0.021768146078343576788061142,368.9152135817171824783145>	0	<>	<0.037419358283195758296812983,0.12047311091003065630644642,0.082759456962342659025466673>	1	3.1512459999999999915587523	3.1513070000000000803197509
83	<0.00066590065432987205484849369,0.070139704379318143501187421,0.048145246956565072860012577,364.33886933109670280828141,0.00060551446599676963123554119,0.031001980868634759769264519,0.059592733147539087013022652,344.39536310966138898947975>	0	<>	<0.12758216086034401826054818,0.075560266403683518099398952,0.10079055268015080226717828>	1	3.1473100000000000520117283	3.1473439999999999194812972
84	<0.00083533436066253788886137865,0.049496544697087516140321384,0.092909770483574724564412861,378.58317425874207629021839,0.00087368410656865885116628689,-0.003459845191547572529344734,0.055085402980952248574997299,391.71352574448724226385821>	0.013459845191547572737511551	<>	<20000000000,20000000000,nan>	1	2.930982000000000198269845	2.9310469999999999579642918
85	<0.00073186013312398468487474101,0.068327512552881386476144598,0.025794173793771385527762163,375.6086692007298779572011,0.00054406826358477974447253045,0.026560003392659133070186073,0.023627753571433832147086207,334.05725077914877374496427>	0	<>	<0.064749802729975436399456612,0.045688013076863209782629838,0.053803190600020922573776261>	1	3.1537959999999998217390385	3.1538479999999999847659637
86	<0.00083533436066253788886137865,0.049496544697087516140321384,0.092909770483574724564412861,364.00449507124932324586553,0.00067227940588364366262391636,0.02464939239069325466191529,0.030646850799977247425953664,364.70864999909355219642748>	0	<>	<1.2196149995271938770713405,1.2196149995271938770713405,1.2196149995271938770713405>	1	0.017180999999999998356647879	0.01721999999999999919619853
87	<0.00054757217310721624601438373,0.097160314427297708728126224,0.039355427419932295651783249,373.77955840960123623517575,0.00068491258902238357983427441,0.030255471221290283767579865,0.045441193725042385020973512,376.85019254203075433906633>	0	<>	<0.11525462589580393046873041,0.38686013718002532080220135,0.77389757433644190687260789>	1	3.1531579999999999053272859	3.1532019999999998383088951
88	<0.00033762046071357109007504693,0.084970606977572013529531603,0.061135088243119001250036604,381.27189443971587934356648,0.0011092512638816848496298162,0.055558305599521060069712064,0.019426180540782482519812646,328.96322306662949586097966>	1.036886184634385754677055	<>	<0.0087143679368807402951802032,0.08951141103225923600916758,0.014051724127118636609168334>	1	3.1502970000000001249418347	3.1504110000000000724185156
89	<0.00068228627284163908574277091,0.095239171658288310218232198,0.04035625434031536035162091,379.24668351153218281979207,0.00088949624974722814318983666,0.037765252427321524542058739,0.058359074875879615729168393,385.20131625942946129725897>	0	<>	<0.15078397457509173928968949,0.46473409598095460903977028,0.87072969355276508274243952>	1	3.1520649999999998946975666	3.1521140000000000824798008
90	<0.00094076219591813278059211356,0.035776317862689643867213363,0.061743260152518408823141272,379.11832483793534720462048,0.00077461919443431277113726319,0.053610679997881265090864389,0.096064679339092545751199737,356.74006000475031896712608>	0	<>	<1.113233679395834840875068,1.113233679395834840875068,1.113233679395834840875068>	1	0.017131000000000000393907129	0.017152999999999998109734278
91	<0.00065691727095140023135605434,0.041735326397109473450797168,0.10648765588015673966282293,368.81394960862303378235083,0.00073068871951228412525702893,0.015045103416799147921789626,0.082618648906992123159831465,396.84542092580602457019268>	0.0064876558801567341117078058	<>	<1.1266602205750448906229622,1.1266602205750448906229622,1.1266602205750448906229622>	1	0.017755999999999997479571689	0.017795999999999999319211241
92	<0.00067086067957378028945442106,0.041479327043741631708684281,0.048845291125516082653135186,338.75039129809033511264715,0.00053811351626092268629619753,0.095446856108236527438393182,0.0053420537781631999285636425,361.27704617044753376831068>	0.0046579462218368002796031746	<>	<1.0634923628813557350270003,1.0634923628813557350270003,1.0634923628813557350270003>	1	0.017606999999999997652544437	0.017653999999999999553912389
93	<0.00089683211166264134063530467,0.036736889247194343122160376,0.064196258775981271393895611,382.57973977892180528215249,0.00085360887054289195409462199,0.0785220982313724752410522,0.05076330670533100997143805,352.56449814605093706632033>	0	<>	<0.46495590312376744446254406,0.23545072432708225029784899,0.55568002418010209453314019>	1	3.1475960000000000604813977	3.1476440000000001084856649
94	<0.00062019211452928935980610792,0.061935750433213900001394592,0.092763310891000233526781926,378.52989506839298883278389,0.00096107939135333503820335377,0.030635120158845157573024309,0.091867419887272372402975407,395.95663532193589162488934>	0	<>	<0.46120944317568024484188527,0.91158842769918380088967069,0.82480131902468523108495901>	1	3.1473420000000000840145731	3.147419000000000188776994
95	<0.00074926296540036001897489015,0.089523792537871654806380661,0.03580314250933153141787102,351.77082102828234155822429,0.00098421535195513418052548626,0.035161717578378375026471048,0.010583196101050450568803463,367.59763247221599158365279>	0	<>	<0.48791179486461566661148481,0.88756310101483060215343812,0.77193196785976070373180846>	1	3.1969690000000001717239684	3.1970139999999998003943347
96	<0.00046927903302445964951739033,0.058627378506878109754030248,0.018476566629706217548267944,369.01617051201924368797336,0.00068752095585224268399493486,0.031798246918152202333818224,0.010765829598887744281143775,364.99069472075939302158076>	0	<>	<0.1536070314582368423472758,0.38278342405264698111722055,0.33676691814261572321953508>	1	3.1441270000000001161311047	3.1441580000000000083559826
97	<0.00067195711959943044740833917,0.06480097676501654635483618,0.032370173487518999477785542,370.94543290135709412425058,0.0009804804350507820114024593,0.062148582534700902435531589,0.04792117492198999517682978,378.25069812976323646580568>	0	<>	<1.211574380495393565837503,1.211574380495393565837503,1.211574380495393565837503>	1	0.017666999999999998677280288	0.017731000000000000232924791
98	<0.00083744229559667515781079539,0.079062781618122385252078743,0.030612495327653591742356198,365.26767685556217202247353,0.00081580479598641626303584529,0.088308203205609794861352668,0.097258900486519056505230196,369.88093407819087587995455>	0	<>	<1.7551398185315130184847021,1.7551398185315130184847021,1.7551398185315130184847021>	1	0.017523000000000000381250587	0.017568999999999997813082686
99	<0.00062256697738662688905442177,0.057419063524538210829817331,0.032889051243145506209231144,379.00560809718706423154799,0.00068745601968255660909473681,0.030994673714039227413463706,0.10815410685173894311805753,373.42123704888911106536398>	0.0081541068517389375669424112	<>	<1.0181544402941817839547411,1.0181544402941817839547411,1.0181544402941817839547411>	1	0.017787000000000000726751992	0.017805999999999998911759391
100	<0.00057220041778506731434961186,0.052056906238224787131230187,0.031333359578313943472060998,409.32276896751614003733266,0.0006234671604055759194795705,0.063290487059061650843005964,0.027244168066999023547491987,369.88270203577479833256803>	9.3227689675161400373326614	<>	<0.35391947463766781911687076,0.13519429983404418482706433,0.32433120786979097172064712>	1	3.1523029999999998551629687	3.1523419999999999774331627
101	<0.00070450136803765846423008856,0.083369692828678385043694732,-0.0020853485013755702903726075,367.01178586902642564382404,0.00049184159505732429323171528,0.031398049640188954723107884,0.11759843277749532086673412,411.46179839105423070577672>	11.491482172333101985373105	<>	<20000000000,20000000000,nan>	1	3.0554570000000000895568064	3.0555569999999998564987891
102	<0.00087465022051457798867024618,0.05375343937834418939214487,0.11383471996469178566524505,351.45763923016261287557427,0.00090459696528483049884905576,0.081868587616769877834954627,0.051583202388292739848374424,384.93504576673035444400739>	0.013834719964691780114129926	<>	<1.6759377466810088108672971,1.6759377466810088108672971,1.6759377466810088108672971>	1	0.017339000000000000245581333	0.017409999999999998393507283
103	<0.00079045801083112978910327762,0.078747764126745875556956378,0.084667977441413327932551169,387.46936897862212845211616,0.00054918639811183625910190331,0.12432475055769308391884209,0.12441156808434128411278152,390.96415892695733873551944>	0.048736318642034356929393368	<>	<1.7416238990586598855969669,1.7416238990586598855969669,1.7416238990586598855969669>	1	0.017562999999999998751443187	0.017606000000000000121902488
104	<0.00027268402161900138222852541,0.068650449889782111378977447,0.034576285437017816037919005,359.87958863837627632165095,0.0008610568728233021495999111,0.020120642529856711672175962,0.0052652980085766392520651991,369.0317408817502382589737>	0.004762017969804359547592032	<>	<0.21409175383190226504837028,0.49669344922582059353999284,0.38979910831426645145825205>	1	3.1419939999999999535873485	3.142056000000000182126314
105	<0.00040501995510655456125825857,0.024055262987527654267028154,0.051674773973261374504506449,388.70897321436041238484904,0.00075123836381884223287186408,0.030457159184365145687678478,0.062358527469994054492907765,401.25499032947351452094154>	1.254990329473514520941535	<>	<1.0351490089252859405632989,1.0351490089252859405632989,1.0351490089252859405632989>	1	0.017853000000000000813127343	0.017919000000000000899502695
106	<0.0009348138475719905068905824,0.035655579062018348535101353,0.081444203938098730377603829,360.68510092055549876022269,0.0008752064220142582919720331,0.071933504518556179441191034,0.12515050108318706567622769,341.66891153513870449387468>	0.025150501083187060125112566	<>	<0.55081818010079641734222378,0.39944331794443233007996241,0.90059334653580314089538206>	1	3.1276720000000000077022833	3.127702000000000204238404
107	<0.0009743341824851624918130133,0.025015834372032353521975168,0.051174360513069838685140667,338.59804842090142074084724,0.00093904101922597795707586821,0.066467923348056123789007188,0.075649936005004539407714503,377.36999805195722501593991>	0	<>	<1.9292510692434752250790098,1.9292510692434752250790098,1.9292510692434752250790098>	1	0.017334999999999999714672683	0.017398000000000000270228284
108	<0.00031838251450955049916269335,0.041915045323858535208927378,0.057225750664819857727039221,383.57455416748979359908844,0.00041753107230995355463737395,0.033490731326626027586357282,0.057359058171212243260050911,374.77309730737374593445566>	0	<>	<0.13755805096283368893494981,0.018903490564231018034035969,0.087994537376363313185834159>	1	3.1525620000000000864304184	3.1527519999999999988915533
109	<0.00031523966203222031270264614,0.059924437601549751519769416,0.017046395452714715318398575,388.89237686008789296465693,0.00045072448523748886474449282,0.030438901576185083130976494,0.047608659182492969741407052,336.62248115363644274111721>	0	<>	<0.28660886412479613660764244,0.11385587427192744858217566,0.31220691082545914962764755>	1	3.1524410000000000486863883	3.1524929999999997676241037
110	<0.00066303790177360088890778922,0.03912105306243573304980643,0.047380933329640398388171718,375.6086692007298779572011,0.00054406826358477974447253045,0.054015529902659141503473705,0.023627753571433832147086207,372.79856630647634574415861>	0	<>	<1.3936234454031253271466539,1.3936234454031253271466539,1.3936234454031253271466539>	1	0.017913999999999999368505144	0.017932999999999997553512543
111	<0.00062491433541286476021497931,0.070139704379318143501187421,0.048145246956565072860012577,363.52408358874924942938378,0.00065913909887156413996978088,0.076213379717065668494946351,0.028312590216897710188037607,372.12776066368803640216356>	0	<>	<1.4606231376734704063835579,1.4606231376734704063835579,1.4606231376734704063835579>	1	0.018914000000000000256683563	0.018947999999999999565236664
112	<0.00073931416946664192148264139,0.048850049919611795989915493,0.03287058694771052835825742,384.37311811343448653133237,0.0010827722654132042930802404,0.033490731326626027586357282,0.054380115497408607061480268,382.42625998846256152319256>	8.2772265413204272263558714e-05	<>	<0.1464722847517673232076163,0.13116407799702622938298191,0.28815254580551297181045811>	1	3.1468899999999999650412974	3.1469219999999999970441422
113	<0.00066590065432987205484849369,0.055557478106607438572694946,0.048145246956565072860012577,364.33886933109670280828141,0.0004066871386518177062564805,0.056086421925498369800422438,0.059592733147539087013022652,343.25277930306162943452364>	0	<>	<1.0159413018110137194582876,1.0159413018110137194582876,1.0159413018110137194582876>	1	0.017874999999999998528954492	0.017910999999999999837685394
114	<0.00083533436066253788886137865,0.097945921629642107575364207,0.092909770483574724564412861,378.58317425874207629021839,0.0009893506208035864404881643,0.055759993562595921989810677,0.05402389835418965058355667,377.29310800064382647178718>	0	<>	<0.21429626890019337626114293,0.43042052442238265541618603,0.7334730767494175296405956>	1	3.1479710000000000746922524	3.1479949999999998766497811
115	<0.00073757292975791402880880732,0.049496544697087516140321384,0.013549750830768491488553806,381.09710459182832664737361,0.00071975963032793247291935002,0.027764894681873222848089711,0.030646850799977247425953664,352.24994274892378598451614>	0	<>	<0.64138054038238823117978882,0.42107853716153198497806898,0.84522217588634485085918868>	1	3.1487229999999999385806859	3.1487810000000000520969934
116	<0.00049327488139657067224563836,0.063566800604372669658559403,0.022805525016880379141070989,378.20160826962739974987926,0.00068491258902238357983427441,0.015470563468043957433550872,0.045441193725042385020973512,378.02766136383991124603199>	0	<>	<0.11179318960420081552342708,0.22458509736753662355823735,0.29949265659587909205185952>	1	3.1478289999999997661461748	3.1478969999999999451745225
117	<0.00077093714178583456000937169,0.055822460628497633239319953,0.10367536318426735786335513,376.51830261760306939322618,0.00057345590114055947517784917,0.033815067975113674569875855,0.046221184100127411797931387,390.57897579068264803936472>	0.003675363184267352312240007	<>	<1.512443613705099831889811,1.512443613705099831889811,1.512443613705099831889811>	1	0.017939000000000000084598994	0.018007999999999999701794096
118	<0.00071349312475113817882954592,0.059073212355875044654585082,0.02455444978762159891072514,387.80899228426113722889568,0.00099173554731730182223992109,0.047988442461000965777451199,0.087832531824397180875152458,385.20131625942946129725897>	0	<>	<1.0293033647402958230543391,1.0293033647402958230543391,1.0293033647402958230543391>	1	0.017974999999999997923882944	0.018007999999999999701794096
119	<0.00052479885055208529143211393,0.038392638162892608888476786,0.053001651981846274741538849,378.13660573593182334661833,0.00088571870259974093929355998,0.074317163481291928506244915,0.096474184332869111768715698,402.65106567188684039138025>	2.6510656718868403913802467	<>	<1.2589275827307080390937699,1.2589275827307080390937699,1.2589275827307080390937699>	1	0.017967000000000000331512595	0.017995999999999998109068144
120	<0.00043082001054115594577617609,0.058627378506878109754030248,0.018476566629706217548267944,389.39170760627212075632997,0.00068752095585224268399493486,0.041677489174961813989117587,0.010765829598887744281143775,350.92763156706035942988819>	0	<>	<0.022117010212958976289598922,0.084224775356230408007718324,0.029443109908799502960619066>	1	3.1494209999999998039754701	3.1494729999999999670023954
121	<0.00090727384963877231397605394,0.023643651961997920463165457,0.064019816068010326759463169,403.33238795787667640979635,0.00090854114980136121710457831,0.037765252427321524542058739,0.081110186668164205303632741,365.54190189835708224563859>	3.332387957876676409796346	<>	<0.62937626888843190009481532,0.3351526106010805916568529,0.70187865646436264910335012>	1	3.1260149999999997660893314	3.1260699999999999043609478
122	<0.0010275960475393088391915519,0.035776317862689643867213363,0.046678909218953415494191006,378.5386056497116555874527,0.00085333448605534362348123967,0.062896999709376594234200297,0.034619007940532284250956252,356.74006000475031896712608>	2.7596047539308818374870214e-05	<>	<1.1540910318498374120821381,1.1540910318498374120821381,1.1540910318498374120821381>	1	0.018028999999999999886979296	0.018051999999999998602895346
123	<0.00096224331230029629645483791,0.051198868747427538072880537,0.10927154014784448698982544,389.1434743949880612490233,0.00081226190529403374199907129,0.042664772548091034476414052,0.057823413975279971954712721,352.73368697595259391164291>	0.0092715401478444814387103179	<>	<0.39997838635886917568740273,0.20917650926827358048853966,0.42253399792562718051414095>	1	3.1352489999999999525925887	3.1352790000000001491287094
124	<0.00089683211166264134063530467,0.071379655063561933681093308,0.064196258775981271393895611,382.57973977892180528215249,0.00085360887054289195409462199,0.052088608199073280213831083,0.05076330670533100997143805,352.56449814605093706632033>	0	<>	<0.30265263398069142120050401,0.15325691444408684471767401,0.29107148327782383923079124>	1	3.1471040000000001235491709	3.1471720000000003025775186
125	<0.00067086067957378028945442106,0.089667418549497349133936552,0.064845100266321148430037624,379.71677561975855041964678,0.00099700899807364192807546122,0.095446856108236527438393182,0.089478977592419364772702295,379.11373947094602954166476>	0	<>	<0.08643538202368739042924517,0.10089656724520323916038933,0.56291211787143269340560892>	1	3.1426889999999998437374416	3.1427249999999999907629444
126	<0.00060184975017413960829415487,0.051592250553235532994911239,0.05352868936305339025993888,378.52989506839298883278389,0.00078976951060573082671195655,0.030635120158845157573024309,0.0033686581363551754836338503,338.03877225960229679913027>	0.0066313418636448247245329668	<>	<0.12598024480440817018944699,0.33054163821534254807943398,0.27817191164239030154448074>	1	3.1326330000000002229398888	3.1326950000000000073896445
127	<0.00030656745779284616006121755,0.089523792537871654806380661,0.03580314250933153141787102,395.65977945721698461056803,0.00099025600647565715541065234,0.018417945160026635842420717,0.053821287123170351296419511,367.59763247221599158365279>	0	<>	<0.050370877191810992101750344,0.010186659384381790971474402,0.020346213005019486708135901>	1	3.1484109999999998485975539	3.1484540000000000858904059
128	<0.00038079621832854868533624337,0.038216939684104611618664649,0.065637756460643265077337105,373.57824085330503294244409,0.00081390980903008492558514675,0.031405356794784483609461745,0.091867419887272372402975407,336.3370834298663112349459>	0	<>	<0.067065872943489646118564451,0.029055505832514483266493244,0.037994819123894685297671003>	1	3.1656810000000001892317414	3.1657489999999999241708792
129	<0.00018773679156449470280254577,0.029646417357561374167351786,0.065472208634238790447845702,370.94543290135709412425058,0.0009804804350507820114024593,0.062148582534700902435531589,0.11035569200774454634572663,326.76437488620962312779739>	3.2460930690065570303204368	<>	<0.065498680548526366784756192,0.050913049929919962366398067,0.049226768470055470849899848>	1	5.2141049999999999897681846	5.2141549999999998732391759
130	<0.00060232831010179521853686868,0.012766275146401615328550783,0.070049924410437197641599028,381.9891581724172056055977,0.00098610213198051894709084131,0.022559335169817489735732963,0.035086664427730618331935375,351.43150945942852558800951>	0	<>	<0.18867855946443978787385731,0.043049845034182410152823195,0.16520750687556773339537131>	1	3.1448109999999998009911906	3.1448640000000001037960828
131	<0.00080395394931731469119473577,0.074299859807034879244369563,0.022376180760271941611039281,389.8989171732212071219692,0.00088323808189399478918435449,0.031844189365787520240580477,0.038906099637460944684619335,372.4576467963727282040054>	0	<>	<0.40039075787859523813949636,0.23113836672785714743127983,0.50191925393442060610027511>	1	3.1471230000000001147952844	3.1471480000000000565307801
132	<0.00057220041778506731434961186,0.052056906238224787131230187,0.061064486299205800179379366,379.77194163617537014943082,0.00077289857623884391200907995,0.063290487059061650843005964,0.028740552676495244310839183,369.88270203577479833256803>	0	<>	<0.11513932748181454623903619,0.20902702507928139219472996,0.29636598876352071574302727>	1	3.1546170000000000044337867	3.1546710000000000029274361
133	<0.00066590065432987205484849369,0.070139704379318143501187421,0.048145246956565072860012577,367.01178586902642564382404,0.00049184159505732429323171528,0.087934134541048744604374576,0.047373457057051586438500834,344.39536310966138898947975>	0	<>	<0.39492454001771115645880172,0.25980256256623401878158575,0.71550540437673704197152347>	1	3.1445629999999997750137481	3.1445859999999998812825197
134	<0.00056951796288812444723353989,0.083088740250951961807679425,0.045795814332457177031621143,353.51831417228947884723311,0.0011045217464000557129610858,0.081868587616769877834954627,0.089410572147188061009615012,375.59840369386290603870293>	0.00010452174640005569214440406	<>	<1.2684145426427795300128309,1.2684145426427795300128309,1.2684145426427795300128309>	1	0.017319999999999998591126982	0.017355999999999999899857883
135	<0.0010764987099311541796087255,0.048933674459780425458621522,0.051381854788112392429244579,383.57455416748979359908844,0.00074087520425248666600115399,0.033490731326626027586357282,0.057359058171212243260050911,363.77073155891650912963087>	7.6498709931154158792043773e-05	<>	<1.4405219296829792074987608,1.4405219296829792074987608,1.4405219296829792074987608>	1	0.017100999999999998146815727	0.017176999999999997825739229
136	<0.00074149257770226933116075596,0.068985276841086004551151234,0.064410930904285484954741037,388.89237686008789296465693,0.00075444612410708634941958195,0.043901795250201498810316281,0.054030853749121726670168187,336.62248115363644274111721>	0	<>	<0.20841207058445199162832751,0.090407870137708679081356422,0.19551908503286619112060407>	1	3.1460200000000000386535248	3.1460810000000001274145234
137	<0.00057220041778506731434961186,0.052056906238224787131230187,0.061064486299205800179379366,375.6086692007298779572011,0.0007807613722191944190600954,0.063290487059061650843005964,0.023627753571433832147086207,369.88270203577479833256803>	0	<>	<0.18678274503718328425350137,0.4037911310413119236883972,0.46374454118653007927974841>	1	3.1552859999999998130704171	3.1553450000000000663646915
138	<0.00066590065432987205484849369,0.070139704379318143501187421,0.04048722195461729178589394,383.70010293493987774127163,0.0006577466747526762190154126,0.028925585461047287338942624,0.094642370052003488289926736,393.88220144500132846587803>	0	<>	<1.4273551745774160082191884,1.4273551745774160082191884,1.4273551745774160082191884>	1	0.017802999999999999380939641	0.017878999999999999059863143
139	<0.00031838251450955049916269335,0.046919824080271572974698557,0.051381854788112392429244579,385.59947652275423024548218,0.0006871399438472651239467881,0.044217475346740087172037192,0.021768146078343576788061142,368.9152135817171824783145>	0	<>	<0.048106804806665626195183449,0.10491100643537043524133878,0.085055261647384305945251981>	1	3.1581260000000002108322406	3.1581899999999998307487203
140	<0.00066590065432987205484849369,0.053742617932726922946873316,0.091588594578946289082033161,373.39542991406995042780181,0.0010555695942221533789595611,0.056068423532912720075316315,0.081855189710322379115225999,413.78346992949184368626447>	13.783525499086065835285808	<>	<1.1552937370814080342285024,1.1552937370814080342285024,1.1552937370814080342285024>	1	0.017798999999999998850030991	0.017811000000000000442756942
141	<0.00083533436066253788886137865,0.049496544697087516140321384,0.068765571463743957458802925,390.32385893966954881761922,0.00082524571474653003223809211,0.027764894681873222848089711,0.055085402980952248574997299,352.24994274892378598451614>	0	<>	<0.21122130840625708003699401,0.06935148936822821408298978,0.17198318186616257108312311>	1	3.1439710000000000711395387	3.1440459999999998963460257
142	<0.00083533436066253788886137865,0.049496544697087516140321384,0.0055065078081127788456328176,394.56494616993700219609309,0.00070469860863741414381405948,0.027764894681873222848089711,0.0090653495200981090013092611,356.35641780079322415986098>	0.0054281426717891125693915555	<>	<1.2296915451818717368581702,1.2296915451818717368581702,1.2296915451818717368581702>	1	0.017423999999999998516964084	0.017478000000000000480060436
143	<0.00025388726669079027774278412,0.036655323794882427312913364,0.022805525016880379141070989,378.20160826962739974987926,0.00079789812303690630258118377,0.015470563468043957433550872,0.045441193725042385020973512,333.28109819143719505518675>	4.6112733309209695976155219e-05	<>	<0.072094637217423374053737462,0.029933788355548940351980036,0.065141966382025073833972328>	1	3.1507489999999997998259005	3.1507879999999999220960945
144	<0.00065247496802009409717915123,0.055822460628497633239319953,0.087553164500302260719877268,382.07646962235514820349636,0.00086046271885184706911670061,0.030255471221290283767579865,0.046221184100127411797931387,375.47435422333626320323674>	0	<>	<0.086289351965844418579365538,0.20296258124709576353694729,0.28729539110054835848728771>	1	3.1492309999999998915143351	3.1492689999999998740065621
145	<0.00084124188902089005841211655,0.029201485658041901466441814,0.10069912662296515160065269,387.80899228426113722889568,0.00074899370545707360646153772,0.035301287765172918720057993,0.058359074875879615729168393,350.33649229227404475750518>	0.00069912662296514604953756589	<>	<0.37541611898973825667269466,0.16799489822445790032645618,0.40409751296120044461446241>	1	3.7584430000000002003446298	3.7585079999999999600390765
146	<0.00068230582793670749471026671,0.049646122263346859071475592,0.041637146105820851960110929,381.24720786909028902300633,0.00053259417840516851735260806,0.05827950831757255228948722,0.027607834421865137808360657,323.32624624193431372987106>	6.6737537580656862701289356	<>	<0.12306126151263119261614065,0.075964296490559690688826322,0.12336960287757081644599566>	1	3.1585209999999999119779659	3.1585739999999997706936483
147	<0.00043082001054115594577617609,0.058627378506878109754030248,0.0081189816843806744683931242,371.01767355536230752477422,0.00068752095585224268399493486,0.019739514736453776105884472,0.040790657545662571681344133,350.92763156706035942988819>	0.0018810183156193257397736929	<>	<0.81015941299047877777184112,0.6381959005367763282379201,0.96424042210225135995926848>	1	3.1592999999999999971578291	3.1593300000000001936939498
148	<0.00050868412465028664450755747,0.064223095303970911817970091,0.054785851122478884667188481,348.19219734144496669614455,0.00088949624974722814318983666,0.037765252427321524542058739,0.084344397317312858053384161,385.20131625942946129725897>	0	<>	<1.4837212411391857980191844,1.4837212411391857980191844,1.4837212411391857980191844>	1	0.017847999999999999282129792	0.017891000000000000652589094
149	<0.00094076219591813278059211356,0.10239779353369857228805984,0.020652295568446766421688565,385.31330232988727857446065,0.000705185687849966755247344,0.053610679997881265090864389,0.057222247280749621856088538,369.66182070259202419038047>	0.0023977935336985667369447128	<>	<1.6203461455004810609636934,1.6203461455004810609636934,1.6203461455004810609636934>	1	0.017860999999999998405497692	0.017888999999999998652411293
150	<0.00071451572464523637959188385,0.041115351054987578360844225,0.047300726541923701629066557,383.64400121654921349545475,0.00075871699834066295108081501,0.015045103416799147921789626,0.082618648906992123159831465,396.84542092580602457019268>	0	<>	<0.41293513350705934872308944,0.82572573857703579491840173,0.84549056754064322305453061>	1	3.1478380000000001359694579	3.1478950000000001097077984
151	<0.00089683211166264134063530467,0.071379655063561933681093308,0.024852590406012071977404077,382.57973977892180528215249,0.00067150497016392430779663236,0.024068828230814000301851507,0.05076330670533100997143805,352.56449814605093706632033>	0	<>	<0.42638962561819493402026637,0.19619186654002718217526535,0.55492865462431950618338306>	1	3.1510620000000000295869995	3.1511459999999997805275598
152	<0.00067086067957378028945442106,0.042466748702557177708172276,0.064845100266321148430037624,381.76434564719181707914686,0.00099700899807364192807546122,0.095446856108236527438393182,0.089478977592419364772702295,379.11373947094602954166476>	0	<>	<0.36012128256009290350192487,0.33016828575486079078160628,0.78958577781218997060364018>	1	3.1340200000000000279953838	3.1340759999999998619557573
153	<0.0010483333189847570451197489,0.061935750433213900001394592,0.061816489948805654341956739,378.52989506839298883278389,0.00091220305851297614225386967,0.030635120158845157573024309,0.091867419887272372402975407,334.88671371824426614693948>	4.8333318984757024303067219e-05	<>	<0.21005918029158832105451893,0.10972494485809203279558233,0.20879337859940505506273212>	1	3.1679880000000002482352102	3.168054999999999843396381
154	<0.00086553868563638003408300392,0.061246500332488906792605121,0.037250614123069972216661938,395.65977945721698461056803,0.00063248803004738337035089968,0.018417945160026635842420717,0.12378877477780395044426598,367.59763247221599158365279>	0.023788774777803944893150856	<>	<0.40060420786662975789482743,0.17295574659701162811842323,0.41026490852670383091549411>	1	3.1441650000000000986233317	3.1442220000000000723616722
155	<0.00038079621832854868533624337,0.038216939684104611618664649,0.065637756460643265077337105,392.75400825671567872632295,0.0005365179058159785666429209,0.031405356794784483609461745,0.091867419887272372402975407,329.87303731142219476168975>	0.12696268857780523831024766	<>	<0.16370134814555559188420375,0.04997686143097346267438752,0.15431986591070578906936817>	1	3.1350760000000001959108431	3.1351160000000000138697942
156	<0.00067195711959943044740833917,0.074625079347577449873085698,0.070653899710464249106500745,370.94543290135709412425058,0.00090261373137012757255498441,0.022355164091500998035932923,0.0059348310022311438760578284,378.25069812976323646580568>	0.0040651689977688563321089887	<>	<0.22987030731067636946107768,0.51323284921287937176970217,0.42898443563025157043711033>	1	3.1424279999999997770032678	3.1424530000000001628279733
157	<0.00060232831010179521853686868,0.06438232568995205795658876,-0.00065291401145649297088624508,381.9891581724172056055977,0.00064352796224401251790753209,0.022559335169817489735732963,0.035086664427730618331935375,355.00011123109288746491075>	0.010652914011456493179053062	<>	<20000000000,20000000000,nan>	1	3.0655179999999999651549842	3.0656089999999998063628937
158	<0.00043753285369604492461084733,0.065786000382288364884963983,-0.0012273921421623763816644015,381.85936572960775947649381,0.0005032103939549812960524422,0.070516820834841037468621039,0.011341966077349831601428498,372.4576467963727282040054>	0.011227392142162376589831219	<>	<20000000000,20000000000,nan>	1	3.0758239999999998914859134	3.07588900000000009526957
159	<0.00070800402769609545056833655,0.067787150392093292738948662,0.061064486299205800179379366,378.09055688760275870663463,0.00077289857623884391200907995,0.064790675521265092551281839,0.028740552676495244310839183,369.88270203577479833256803>	0	<>	<0.24374218266665359511335964,0.3882880724796364813045102,0.59053619290692904719719536>	1	3.1595209999999998018438419	3.1595849999999998658495315
